# regime-adapt train day sampling v1 | frozen 2026-08-09 | seed=42
# train=2004-01-02..2020-07-31 | labels=monthly_regime_3style.csv
# D downsample keep=1718/2771 (f_D=0.619993); target D/F/T=55/30/15; decay halflife=48m (M3 only)
date,weight
2007-07-03,0.40753959
2007-07-04,0.40773299
2007-07-05,0.40792647
2007-07-06,0.40812005
2007-07-09,0.40870134
2007-07-10,0.40889529
2007-07-11,0.40908933
2007-07-12,0.40928346
2007-07-13,0.40947769
2007-07-16,0.41006091
2007-07-17,0.4102555
2007-07-18,0.41045019
2007-07-19,0.41064497
2007-07-20,0.41083984
2007-07-23,0.411425
2007-07-24,0.41162024
2007-07-25,0.41181557
2007-07-26,0.412011
2007-07-27,0.41220652
2007-07-30,0.41279363
2007-07-31,0.41298952
2007-08-01,0.4131855
2007-08-02,0.41338158
2007-08-03,0.41357775
2007-08-06,0.41416681
2007-08-07,0.41436335
2007-08-08,0.41455999
2007-08-09,0.41475671
2007-08-10,0.41495353
2007-08-13,0.41554456
2007-08-14,0.41574175
2007-08-15,0.41593904
2007-08-16,0.41613642
2007-08-17,0.4163339
2007-08-20,0.41692689
2007-08-21,0.41712474
2007-08-22,0.41732269
2007-08-23,0.41752072
2007-08-24,0.41771886
2007-08-27,0.41831382
2007-08-28,0.41851233
2007-08-29,0.41871093
2007-08-30,0.41890963
2007-08-31,0.41910842
2007-09-03,0.2809902
2007-09-04,0.28112354
2007-09-05,0.28125694
2007-09-11,0.28205871
2007-09-12,0.28219256
2007-09-14,0.28246045
2007-09-17,0.28286276
2007-09-18,0.28299699
2007-09-19,0.28313129
2007-09-21,0.28340007
2007-09-28,0.28434282
2007-10-09,0.28583061
2007-10-10,0.28596625
2007-10-12,0.28623773
2007-10-15,0.28664542
2007-10-16,0.28678145
2007-10-18,0.28705369
2007-10-23,0.28773544
2007-10-25,0.28800859
2007-10-26,0.28814527
2007-10-29,0.28855567
2007-11-01,0.43161955
2007-11-02,0.43182437
2007-11-05,0.43243942
2007-11-06,0.43264463
2007-11-07,0.43284994
2007-11-08,0.43305535
2007-11-09,0.43326086
2007-11-12,0.43387796
2007-11-13,0.43408385
2007-11-14,0.43428984
2007-11-15,0.43449593
2007-11-16,0.43470212
2007-11-19,0.43532127
2007-11-20,0.43552785
2007-11-21,0.43573453
2007-11-22,0.43594131
2007-11-23,0.43614818
2007-11-26,0.43676939
2007-11-27,0.43697666
2007-11-28,0.43718403
2007-11-29,0.43739149
2007-11-30,0.43759905
2007-12-03,0.43822233
2007-12-04,0.43843029
2007-12-05,0.43863834
2007-12-06,0.4388465
2007-12-07,0.43905475
2007-12-10,0.4396801
2007-12-11,0.43988875
2007-12-12,0.4400975
2007-12-13,0.44030634
2007-12-14,0.44051529
2007-12-17,0.44114272
2007-12-18,0.44135206
2007-12-19,0.44156151
2007-12-20,0.44177105
2007-12-21,0.44198069
2007-12-24,0.44261021
2007-12-25,0.44282025
2007-12-26,0.44303038
2007-12-27,0.44324062
2007-12-28,0.44345096
2008-01-02,0.44450415
2008-01-03,0.44471509
2008-01-04,0.44492612
2008-01-07,0.44555984
2008-01-08,0.44577128
2008-01-09,0.44598282
2008-01-10,0.44619446
2008-01-11,0.4464062
2008-01-14,0.44704202
2008-01-15,0.44725416
2008-01-16,0.4474664
2008-01-17,0.44767875
2008-01-18,0.44789119
2008-01-21,0.44852913
2008-01-22,0.44874198
2008-01-23,0.44895492
2008-01-24,0.44916797
2008-01-25,0.44938112
2008-01-28,0.45002118
2008-01-29,0.45023474
2008-01-30,0.4504484
2008-01-31,0.45066216
2008-02-01,0.45087602
2008-02-04,0.4515182
2008-02-05,0.45173247
2008-02-13,0.45345026
2008-02-14,0.45366545
2008-02-15,0.45388073
2008-02-18,0.4545272
2008-02-19,0.45474289
2008-02-20,0.45495869
2008-02-21,0.45517459
2008-02-22,0.45539059
2008-02-25,0.45603921
2008-02-26,0.45625562
2008-02-27,0.45647214
2008-02-28,0.45668875
2008-02-29,0.45690547
2008-03-03,0.45755625
2008-03-04,0.45777338
2008-03-05,0.45799062
2008-03-06,0.45820795
2008-03-07,0.45842539
2008-03-10,0.45907833
2008-03-11,0.45929619
2008-03-12,0.45951415
2008-03-13,0.45973221
2008-03-14,0.45995037
2008-03-17,0.46060548
2008-03-18,0.46082406
2008-03-19,0.46104274
2008-03-20,0.46126153
2008-03-21,0.46148042
2008-03-24,0.46213771
2008-03-25,0.46235702
2008-03-26,0.46257643
2008-03-27,0.46279594
2008-03-28,0.46301556
2008-03-31,0.46367504
2008-04-01,0.46389507
2008-04-02,0.46411521
2008-04-03,0.46433546
2008-04-07,0.46521748
2008-04-08,0.46543825
2008-04-09,0.46565912
2008-04-10,0.4658801
2008-04-11,0.46610118
2008-04-14,0.46676505
2008-04-15,0.46698655
2008-04-16,0.46720816
2008-04-17,0.46742987
2008-04-18,0.46765169
2008-04-21,0.46831777
2008-04-22,0.46854001
2008-04-23,0.46876235
2008-04-24,0.4689848
2008-04-25,0.46920736
2008-04-28,0.46987565
2008-04-29,0.47009863
2008-04-30,0.47032172
2008-05-05,0.47143872
2008-05-06,0.47166244
2008-05-07,0.47188627
2008-05-08,0.4721102
2008-05-09,0.47233424
2008-05-12,0.47300699
2008-05-13,0.47323145
2008-05-14,0.47345602
2008-05-15,0.4736807
2008-05-16,0.47390548
2008-05-19,0.47458047
2008-05-20,0.47480568
2008-05-21,0.475031
2008-05-22,0.47525642
2008-05-23,0.47548195
2008-05-26,0.47615919
2008-05-27,0.47638515
2008-05-28,0.47661122
2008-05-29,0.47683739
2008-05-30,0.47706367
2008-06-02,0.47774316
2008-06-03,0.47796987
2008-06-04,0.47819669
2008-06-05,0.47842362
2008-06-06,0.47865065
2008-06-10,0.47955986
2008-06-11,0.47978744
2008-06-12,0.48001512
2008-06-13,0.48024291
2008-06-16,0.48092692
2008-06-17,0.48115515
2008-06-18,0.48138348
2008-06-19,0.48161191
2008-06-20,0.48184046
2008-06-23,0.48252675
2008-06-24,0.48275573
2008-06-25,0.48298482
2008-06-26,0.48321402
