datetime,bench
2021-03-29,0.0015773459
2021-03-30,-0.00684998
2021-03-31,0.0023613297
2021-04-01,0.0028509877
2021-04-02,0.004881966
2021-04-06,0.010170265
2021-04-07,0.007372825
2021-04-08,-0.006540919
2021-04-09,0.0004938158
2021-04-12,-0.013049719
2021-04-13,-0.0073363674
2021-04-14,0.011586219
2021-04-15,-0.0032985965
2021-04-16,0.015772527
2021-04-19,0.013927705
2021-04-20,-0.0038355484
2021-04-21,-0.002886065
2021-04-22,0.0042087324
2021-04-23,-0.00797075
2021-04-26,-0.0035956404
2021-04-27,-0.007291927
2021-04-28,0.0027934124
2021-04-29,-0.0029478753
2021-04-30,-0.007247506
2021-05-06,0.0047543403
2021-05-07,-0.0047273417
2021-05-10,0.0051688277
2021-05-11,0.004545089
2021-05-12,0.010476728
2021-05-13,-0.004888515
2021-05-14,0.013256896
2021-05-17,-0.007181882
2021-05-18,0.005860552
2021-05-19,-0.0006177799
2021-05-20,-0.0030009528
2021-05-21,0.001606157
2021-05-24,0.0064468067
2021-05-25,0.008604282
2021-05-26,0.007184067
2021-05-27,0.008626664
2021-05-28,-0.0034931402
2021-05-31,0.012982653
2021-06-01,0.00854027
2021-06-02,-0.0064248946
2021-06-03,-0.0004809315
2021-06-04,-0.00023381483
2021-06-07,0.008205711
2021-06-08,-0.0011033106
2021-06-09,0.0025744755
2021-06-10,0.005961781
2021-06-11,-0.006128076
2021-06-15,-0.0080086915
2021-06-16,-0.011363501
2021-06-17,0.0074402136
2021-06-18,0.008612582
2021-06-21,0.012201682
2021-06-22,0.006027175
2021-06-23,0.0037946182
2021-06-24,-0.0060929735
2021-06-25,0.0026367416
2021-06-28,0.006240724
2021-06-29,-0.008303547
2021-06-30,0.0073240683
2021-07-01,-0.013487545
2021-07-02,-0.0050966777
2021-07-05,0.013085191
2021-07-06,0.00020946529
2021-07-07,0.008301669
2021-07-08,-0.004491622
2021-07-09,0.006018899
2021-07-12,0.012843672
2021-07-13,0.0055523063
2021-07-14,-0.007426859
2021-07-15,-0.006322428
2021-07-16,-0.0012658148
2021-07-19,-0.0014444353
2021-07-20,0.0029668128
2021-07-21,0.012570747
2021-07-22,0.005254871
2021-07-23,-0.010860148
2021-07-26,-0.014264539
2021-07-27,-0.019150628
2021-07-28,-0.023242794
2021-07-29,0.025990289
2021-07-30,0.009377194
2021-08-02,0.019484483
2021-08-03,-0.0026657558
2021-08-04,0.011748253
2021-08-05,-0.0063417787
2021-08-06,3.355941e-05
2021-08-09,0.011897911
2021-08-10,0.010293072
2021-08-11,0.0066525317
2021-08-12,0.0033362198
2021-08-13,0.00024687278
2021-08-16,0.0008999455
2021-08-17,-0.024188917
2021-08-18,0.008822362
2021-08-19,-0.0020268306
2021-08-20,-0.0059560305
2021-08-23,0.025493585
2021-08-24,0.0060498603
2021-08-25,0.007818268
2021-08-26,-0.006629214
2021-08-27,-0.001960768
2021-08-30,0.0008091748
2021-08-31,-0.0010724496
2021-09-01,-0.003956347
2021-09-02,0.010933139
2021-09-03,0.0013898603
2021-09-06,0.011751862
2021-09-07,0.011388274
2021-09-08,0.0076219593
2021-09-09,7.652534e-05
2021-09-10,-0.004703962
2021-09-13,0.0043399236
2021-09-14,-0.0100207515
2021-09-15,0.0061418083
2021-09-16,-0.014374604
2021-09-17,-0.003054696
2021-09-22,0.0038362248
2021-09-23,0.007323369
2021-09-24,-0.01660715
2021-09-27,-0.027159305
2021-09-28,0.003414865
2021-09-29,-0.029390216
2021-09-30,0.021396996
2021-10-08,0.014446086
2021-10-11,-0.0019565483
2021-10-12,-0.016206317
2021-10-13,0.00391073
2021-10-14,0.006195735
2021-10-15,-0.007174799
2021-10-18,0.0070324857
2021-10-19,0.005006336
2021-10-20,-0.0018877917
2021-10-21,-0.005314026
2021-10-22,-0.008568949
2021-10-25,0.007212613
2021-10-26,-0.0036351166
2021-10-27,-0.016858783
2021-10-28,-0.018277766
2021-10-29,0.015492303
2021-11-01,0.012921579
2021-11-02,-0.012032378
2021-11-03,0.0068742754
2021-11-04,0.014144272
2021-11-05,-0.004254847
2021-11-08,0.0055911527
2021-11-09,0.011203346
2021-11-10,0.005969248
2021-11-11,0.010131859
2021-11-12,0.010436163
2021-11-15,0.009237988
2021-11-16,-0.008444494
2021-11-17,0.01446442
2021-11-18,-0.0068786433
2021-11-19,0.01198688
2021-11-22,0.009164771
2021-11-23,0.004104035
2021-11-24,0.004455235
2021-11-25,0.00047282598
2021-11-26,-0.0022077872
2021-11-29,-5.8279606e-05
2021-11-30,0.007932052
2021-12-01,0.009825702
2021-12-02,-0.011759167
2021-12-03,0.004175046
2021-12-06,-0.015226049
2021-12-07,-0.0070203026
2021-12-08,0.012604108
2021-12-09,0.005076776
2021-12-10,0.003814016
2021-12-13,0.0045963004
2021-12-14,0.005776698
2021-12-15,0.0016450372
2021-12-16,0.008978699
2021-12-17,-0.007993464
2021-12-20,-0.010411718
2021-12-21,0.015375624
2021-12-22,0.0045046094
2021-12-23,-0.0049402704
2021-12-24,-0.016944107
2021-12-27,0.0045481864
2021-12-28,0.0064741033
2021-12-29,-0.000741923
2021-12-30,0.00982393
2021-12-31,0.005925688
2022-01-04,0.010691847
2022-01-05,-0.014522444
2022-01-06,0.008962635
2022-01-07,-0.015978638
2022-01-10,0.009125939
2022-01-11,-0.0047374405
2022-01-12,0.0140369795
2022-01-13,-0.009023445
2022-01-14,-0.0039224927
2022-01-17,0.016189527
2022-01-18,-0.012613002
2022-01-19,0.0009004314
2022-01-20,-0.023848066
2022-01-21,-0.011842247
2022-01-24,-0.0026553662
2022-01-25,-0.040429104
2022-01-26,0.006392433
2022-01-27,-0.03239808
2022-01-28,0.011850094
2022-02-07,0.014523531
2022-02-08,0.013565842
2022-02-09,0.014661569
2022-02-10,-0.0032025005
2022-02-11,-0.020153861
2022-02-14,0.00024748282
2022-02-15,0.0056675384
2022-02-16,0.0125418855
2022-02-17,-0.0023396912
2022-02-18,0.0069711814
2022-02-21,0.013402832
2022-02-22,-0.011061674
2022-02-23,0.016903238
2022-02-24,-0.02357387
2022-02-25,0.010194677
2022-02-28,0.0004763528
2022-03-01,0.00828556
2022-03-02,0.003998819
2022-03-03,-0.0024203197
2022-03-04,-0.011160098
2022-03-07,-0.015469385
2022-03-08,-0.031997174
2022-03-09,-0.013496513
2022-03-10,0.017516023
2022-03-11,0.0073525044
2022-03-14,-0.027096504
2022-03-15,-0.050703913
2022-03-16,0.03059676
2022-03-17,0.019203894
2022-03-18,0.013129826
2022-03-21,0.0135615375
2022-03-22,-0.0020552408
2022-03-23,0.003234471
2022-03-24,-0.0112071615
2022-03-25,-0.0045103943
2022-03-28,-0.0041723265
2022-03-29,-0.009546592
2022-03-30,0.016442455
2022-03-31,-0.00202339
2022-04-01,-0.0021068517
2022-04-06,0.009341348
2022-04-07,-0.023085717
2022-04-08,-0.006746242
2022-04-11,-0.029252037
2022-04-12,0.017435161
2022-04-13,-0.019013349
2022-04-14,0.009072128
2022-04-15,-0.016653057
2022-04-18,0.00791352
2022-04-19,0.0043985196
2022-04-20,-0.009744018
2022-04-21,-0.03749871
2022-04-22,-0.008901401
2022-04-25,-0.075169526
2022-04-26,-0.034014985
2022-04-27,0.03155802
2022-04-28,-0.016099345
2022-04-29,0.045085225
2022-05-05,0.018161966
2022-05-06,-0.010208089
2022-05-09,0.016496545
2022-05-10,0.01763693
2022-05-11,0.0039577223
2022-05-12,0.00804581
2022-05-13,0.0063251597
2022-05-16,0.0020358611
2022-05-17,-0.0008831087
2022-05-18,0.007117504
2022-05-19,0.007170933
2022-05-20,0.011997816
2022-05-23,0.013424602
2022-05-24,-0.041956693
2022-05-25,0.01979098
2022-05-26,0.004643878
2022-05-27,0.00086119305
2022-05-30,0.01005229
2022-05-31,0.012449755
2022-06-01,0.007648792
2022-06-02,0.011428852
2022-06-06,0.017588703
2022-06-07,-0.005104876
2022-06-08,-0.0018540624
2022-06-09,-0.019417623
2022-06-10,0.017797831
2022-06-13,0.003912119
2022-06-14,0.00030110846
2022-06-15,-0.001405416
2022-06-16,0.008327846
2022-06-17,0.0053517115
2022-06-20,0.011733605
2022-06-21,-0.0042914366
2022-06-22,-0.012392232
2022-06-23,0.020045804
2022-06-24,0.011254308
2022-06-27,0.008467664
2022-06-28,0.014667733
2022-06-29,-0.021401215
2022-06-30,0.008738532
2022-07-01,-0.0015060158
2022-07-04,0.006798313
2022-07-05,-0.008278587
2022-07-06,-0.008146191
2022-07-07,0.0067367167
2022-07-08,0.001998703
2022-07-11,-0.008226673
2022-07-12,-0.015994778
2022-07-13,0.012215991
2022-07-14,0.007530806
2022-07-15,-0.016241131
2022-07-18,0.024664171
2022-07-19,0.010299843
2022-07-20,0.009507723
2022-07-21,-0.0032564152
2022-07-22,-0.0023974949
2022-07-25,-0.008185992
2022-07-26,0.010692891
2022-07-27,0.009337051
2022-07-28,0.008499998
2022-07-29,-0.005212379
2022-08-01,0.0062002596
2022-08-02,-0.038300883
2022-08-03,-0.00415279
2022-08-04,0.013838072
2022-08-05,0.012868019
2022-08-08,0.013725844
2022-08-09,0.0037612498
2022-08-10,0.003364311
2022-08-11,0.013030652
2022-08-12,-0.004763273
2022-08-15,0.004397538
2022-08-16,0.0076162443
2022-08-17,0.0026366091
2022-08-18,0.002583263
2022-08-19,-0.0131936055
2022-08-22,0.0056750374
2022-08-23,0.00412976
2022-08-24,-0.030547477
2022-08-25,-0.004320869
2022-08-26,-0.0054908255
2022-08-29,0.008230408
2022-08-30,-0.0034312145
2022-08-31,-0.026968423
2022-09-01,-0.0038637156
2022-09-02,0.013768873
2022-09-05,0.0025587273
2022-09-06,0.013259784
2022-09-07,0.0041900636
2022-09-08,-0.0096127605
2022-09-09,-0.0005375653
2022-09-13,0.0030277753
2022-09-14,-0.0075728456
2022-09-15,-0.024066651
2022-09-16,-0.023619575
2022-09-19,-0.012949814
2022-09-20,0.014788544
2022-09-21,0.0029876789
2022-09-22,-0.0033045725
2022-09-23,-0.020426486
2022-09-26,-0.017726729
2022-09-27,0.024254696
2022-09-28,-0.026479166
2022-09-29,-0.0047882516
2022-09-30,-0.013004968
2022-10-10,-0.018194254
2022-10-11,0.0057198107
2022-10-12,0.028372418
2022-10-13,0.010365142
2022-10-14,0.02318714
2022-10-17,0.01631168
2022-10-18,0.0037435375
2022-10-19,-0.0082888855
2022-10-20,-0.0024393916
2022-10-21,0.0010671763
2022-10-24,-0.012994607
2022-10-25,-0.0033012787
2022-10-26,0.021167642
2022-10-27,-0.0029109458
2022-10-28,-0.035717364
2022-10-31,0.0116934385
2022-11-01,0.02549459
2022-11-02,0.013730055
2022-11-03,0.004730939
2022-11-04,0.017203098
2022-11-07,0.00667931
2022-11-08,-0.00079605513
2022-11-09,0.00050947693
2022-11-10,-0.0047515547
2022-11-11,0.0043031215
2022-11-14,-0.0011633615
2022-11-15,0.02003643
2022-11-16,-0.0021302914
2022-11-17,0.0049621826
2022-11-18,-0.00718847
2022-11-21,0.0035195178
2022-11-22,-0.011979629
2022-11-23,-0.0063919695
2022-11-24,0.0037250475
2022-11-25,-0.008752643
2022-11-28,-0.004375887
2022-11-29,0.018536527
2022-11-30,-0.0010593303
2022-12-01,0.008971387
2022-12-02,0.0065402626
2022-12-05,0.007770494
2022-12-06,-0.0040681204
2022-12-07,0.00089228747
2022-12-08,-0.0034230656
2022-12-09,-0.0014087338
2022-12-12,-0.0018153542
2022-12-13,-0.003760127
2022-12-14,-0.002574637
2022-12-15,0.0037049258
2022-12-16,-0.011304933
2022-12-19,-0.022394544
2022-12-20,-0.0042971247
2022-12-21,-0.00763521
2022-12-22,-0.014427305
2022-12-23,-0.0027716574
2022-12-26,0.017069966
2022-12-27,0.005317751
2022-12-28,-0.011326486
2022-12-29,-0.003520115
2022-12-30,0.006626819
2023-01-03,0.0232732
2023-01-04,0.0042876676
2023-01-05,0.006381378
2023-01-06,-0.0016232413
2023-01-09,0.006168
2023-01-10,-0.0009904201
2023-01-11,-0.008672055
2023-01-12,0.0004553147
2023-01-13,0.004098818
2023-01-16,0.011397638
2023-01-17,-0.0008110896
2023-01-18,0.004412493
2023-01-19,0.0067320596
2023-01-20,0.007932537
2023-01-30,0.013321111
2023-01-31,0.003000465
2023-02-01,0.017023416
2023-02-02,0.0034179203
2023-02-03,0.00017035422
2023-02-06,-0.0017282096
2023-02-07,0.0070327595
2023-02-08,-0.004832954
2023-02-09,0.01376249
2023-02-10,-0.0012477849
2023-02-13,0.010356844
2023-02-14,0.0009776548
2023-02-15,0.0023517201
